CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031102943943001EY0F;18/02/2025;1;0,408;0;;R
ES0031102943943001EY0F;18/02/2025;2;0,236;0;;R
ES0031102943943001EY0F;18/02/2025;3;0,242;0;;R
ES0031102943943001EY0F;18/02/2025;4;0,236;0;;R
ES0031102943943001EY0F;18/02/2025;5;0,23;0;;R
ES0031102943943001EY0F;18/02/2025;6;0,235;0;;R
ES0031102943943001EY0F;18/02/2025;7;0,278;0;;R
ES0031102943943001EY0F;18/02/2025;8;0,324;0;;R
ES0031102943943001EY0F;18/02/2025;9;1,264;0;;R
ES0031102943943001EY0F;18/02/2025;10;0,979;0;;R
ES0031102943943001EY0F;18/02/2025;11;0,389;0;;R
ES0031102943943001EY0F;18/02/2025;12;0;0,25;;R
ES0031102943943001EY0F;18/02/2025;13;0;0,406;;R
ES0031102943943001EY0F;18/02/2025;14;0;1,204;;R
ES0031102943943001EY0F;18/02/2025;15;0,166;0;;R
ES0031102943943001EY0F;18/02/2025;16;0;0,737;;R
ES0031102943943001EY0F;18/02/2025;17;0;0,727;;R
ES0031102943943001EY0F;18/02/2025;18;0,017;0;;R
ES0031102943943001EY0F;18/02/2025;19;0,381;0;;R
ES0031102943943001EY0F;18/02/2025;20;0,405;0;;R
ES0031102943943001EY0F;18/02/2025;21;0,32;0;;R
ES0031102943943001EY0F;18/02/2025;22;0,363;0;;R
ES0031102943943001EY0F;18/02/2025;23;2,063;0;;R
ES0031102943943001EY0F;18/02/2025;24;2,062;0;;R
ES0031102943943001EY0F;19/02/2025;1;0,615;0;;R
ES0031102943943001EY0F;19/02/2025;2;0,579;0;;R
ES0031102943943001EY0F;19/02/2025;3;0,848;0;;R
ES0031102943943001EY0F;19/02/2025;4;0,736;0;;R
ES0031102943943001EY0F;19/02/2025;5;0,22;0;;R
ES0031102943943001EY0F;19/02/2025;6;0,241;0;;R
ES0031102943943001EY0F;19/02/2025;7;0,223;0;;R
ES0031102943943001EY0F;19/02/2025;8;0,234;0;;R
ES0031102943943001EY0F;19/02/2025;9;0,402;0;;R
ES0031102943943001EY0F;19/02/2025;10;1,527;0;;R
ES0031102943943001EY0F;19/02/2025;11;0;0,272;;R
ES0031102943943001EY0F;19/02/2025;12;0;2,109;;R
ES0031102943943001EY0F;19/02/2025;13;0;2,399;;R
ES0031102943943001EY0F;19/02/2025;14;0;2,062;;R
ES0031102943943001EY0F;19/02/2025;15;0;0,962;;R
ES0031102943943001EY0F;19/02/2025;16;0;1,719;;R
ES0031102943943001EY0F;19/02/2025;17;0;1,461;;R
ES0031102943943001EY0F;19/02/2025;18;0;0,762;;R
ES0031102943943001EY0F;19/02/2025;19;0,139;0;;R
ES0031102943943001EY0F;19/02/2025;20;0,539;0;;R
ES0031102943943001EY0F;19/02/2025;21;0,452;0;;R
ES0031102943943001EY0F;19/02/2025;22;0,424;0;;R
ES0031102943943001EY0F;19/02/2025;23;1,268;0;;R
ES0031102943943001EY0F;19/02/2025;24;0,574;0;;R
ES0031102943943001EY0F;20/02/2025;1;0,412;0;;R
ES0031102943943001EY0F;20/02/2025;2;0,379;0;;R
ES0031102943943001EY0F;20/02/2025;3;0,86;0;;R
ES0031102943943001EY0F;20/02/2025;4;0,517;0;;R
ES0031102943943001EY0F;20/02/2025;5;0,267;0;;R
ES0031102943943001EY0F;20/02/2025;6;0,249;0;;R
ES0031102943943001EY0F;20/02/2025;7;0,263;0;;R
ES0031102943943001EY0F;20/02/2025;8;0,424;0;;R
ES0031102943943001EY0F;20/02/2025;9;1,046;0;;R
ES0031102943943001EY0F;20/02/2025;10;0,916;0;;R
ES0031102943943001EY0F;20/02/2025;11;1,35;0;;R
ES0031102943943001EY0F;20/02/2025;12;0,16;0;;R
ES0031102943943001EY0F;20/02/2025;13;0;0,612;;R
ES0031102943943001EY0F;20/02/2025;14;0;1,82;;R
ES0031102943943001EY0F;20/02/2025;15;0;2,294;;R
ES0031102943943001EY0F;20/02/2025;16;0;1,793;;R
ES0031102943943001EY0F;20/02/2025;17;0;1,389;;R
ES0031102943943001EY0F;20/02/2025;18;0;0,563;;R
ES0031102943943001EY0F;20/02/2025;19;0,278;0;;R
ES0031102943943001EY0F;20/02/2025;20;0,509;0;;R
ES0031102943943001EY0F;20/02/2025;21;0,463;0;;R
ES0031102943943001EY0F;20/02/2025;22;1,391;0;;R
ES0031102943943001EY0F;20/02/2025;23;1,655;0;;R
ES0031102943943001EY0F;20/02/2025;24;1,263;0;;R
ES0031102943943001EY0F;21/02/2025;1;0,382;0;;R
ES0031102943943001EY0F;21/02/2025;2;0,335;0;;R
ES0031102943943001EY0F;21/02/2025;3;0,336;0;;R
ES0031102943943001EY0F;21/02/2025;4;0,335;0;;R
ES0031102943943001EY0F;21/02/2025;5;0,318;0;;R
ES0031102943943001EY0F;21/02/2025;6;0,332;0;;R
ES0031102943943001EY0F;21/02/2025;7;0,328;0;;R
ES0031102943943001EY0F;21/02/2025;8;0,324;0;;R
ES0031102943943001EY0F;21/02/2025;9;0,871;0;;R
ES0031102943943001EY0F;21/02/2025;10;1,642;0;;R
ES0031102943943001EY0F;21/02/2025;11;2,446;0;;R
ES0031102943943001EY0F;21/02/2025;12;0,41;0;;R
ES0031102943943001EY0F;21/02/2025;13;0,584;0;;R
ES0031102943943001EY0F;21/02/2025;14;0,048;0;;R
ES0031102943943001EY0F;21/02/2025;15;0;0,054;;R
ES0031102943943001EY0F;21/02/2025;16;0;0,188;;R
ES0031102943943001EY0F;21/02/2025;17;0;0,075;;R
ES0031102943943001EY0F;21/02/2025;18;0,002;0;;R
ES0031102943943001EY0F;21/02/2025;19;0,377;0;;R
ES0031102943943001EY0F;21/02/2025;20;0,389;0;;R
ES0031102943943001EY0F;21/02/2025;21;0,438;0;;R
ES0031102943943001EY0F;21/02/2025;22;0,326;0;;R
ES0031102943943001EY0F;21/02/2025;23;1,938;0;;R
ES0031102943943001EY0F;21/02/2025;24;1,145;0;;R
